日期,媒体,计划名,消耗(元),曝光,点击,微转化数,首购订单数,首购GMV(元)
2024-05-16,小红书,小红书_种草_成分党,3536.68,91681,2727,132,10,1680
2024-05-16,百度信息流,LUMI_精华_拉新_v2,3341.43,101680,1921,124,11,1848
2024-05-17,巨量引擎,LUMI_精华_拉新_v1,5531.56,174655,3493,195,24,12096
2024-05-17,小红书,test_删我,2703.45,79460,2322,198,3,1008
2024-05-18,巨量引擎,LUMI_精华_拉新_v1,5819.08,157761,3744,189,30,15120
2024-05-18,Bilibili,Bilibili_精华_测评,3059.97,150851,2823,160,14,7056
2024-05-19,巨量引擎,LUMI_精华_拉新_v1,5675.08,284305,5531,550,43,7224
2024-05-19,小红书,小红书_种草_成分党,6424.27,278935,9870,612,43,7224
2024-05-20,巨量引擎,lumi-jh-laxin-3,5505.82,247408,4250,204,35,11760
2024-05-20,小红书,RED_LUMI_note,3004.19,85447,2780,153,8,2688
2024-05-21,腾讯广告,朋友圈_新品_首购,5144.07,142058,2482,173,12,4032
2024-05-21,Bilibili,B站_美妆区_新品,3820.36,109093,1281,65,5,1680
2024-05-22,Bilibili,B站_美妆区_新品_复制,2084.70,105677,1722,86,11,1848
2024-05-22,小红书,小红书_种草_成分党,4432.42,112987,2807,180,10,1680
2024-05-23,巨量引擎,LUMI 精华 冷启动,4860.09,248505,5842,462,29,9744
2024-05-23,Bilibili,B站_美妆区_新品,1878.80,63859,695,44,2,672
2024-05-24,百度信息流,test_删我,2576.29,99636,2089,158,5,1680
2024-05-24,小红书,RED_LUMI_note,5190.98,152003,5528,581,34,5712
2024-05-25,小红书,RED_LUMI_note,2009.58,60205,1547,131,6,3024
2024-05-25,百度信息流,百度信息流_成分党,4163.14,179064,4164,308,20,3360
2024-05-26,Bilibili,Bilibili_精华_测评,2480.80,103244,1860,200,7,1176
2024-05-26,巨量引擎,LUMI 精华 冷启动,6487.11,351757,5289,262,27,9072
2024-05-27,百度信息流,LUMI_精华_拉新_v2,6052.89,158159,2848,313,20,3360
2024-05-27,腾讯广告,LUMI精华液_新客_0501,6223.61,217650,3490,175,13,6552
2024-05-28,腾讯广告,LUMI精华液_新客_0501,4727.46,186787,3641,372,13,6552
2024-05-28,巨量引擎,LUMI_精华_拉新_v1,3081.38,97378,2128,176,14,7056
2024-05-29,小红书,小红书_种草_成分党,2268.44,54303,1319,,6,1008
2024-05-29,巨量引擎,LUMI 精华 冷启动,2788.28,83205,1424,99,7,2352
2024-05-30,百度信息流,百度信息流_成分党,5074.44,128883,2105,147,9,1512
2024-05-30,腾讯广告,test_删我,2314.35,59114,873,53,1,336
2024-05-31,腾讯广告,LUMI精华液_新客_0501,4790.15,145934,2208,238,11,3696
2024-05-31,百度信息流,LUMI_精华_拉新_v2_复制,2565.50,127071,2525,154,18,9072
2024-06-01,腾讯广告,LUMI精华液_新客_0501,5301.77,132006,1987,179,11,5544
2024-06-01,巨量引擎,LUMI 精华 拉新,2943.21,111267,2064,#N/A,12,2016
2024-06-02,腾讯广告,LUMI精华液_新客_0501,2018.10,110488,1856,111,13,4368
2024-06-02,小红书,RED_LUMI_note,6747.70,166726,4233,285,16,2688
2024-06-03,巨量引擎,LUMI_精华_拉新_v1,5932.36,163027,2868,306,18,9072
2024-06-03,Bilibili,Bilibili_精华_测评,4660.17,158856,3022,347,16,2688
2024-06-04,腾讯广告,LUMI精华液_新客_0501,2266.21,83222,1698,84,10,3360
2024-06-04,小红书,小红书_种草_成分党,3344.60,93776,3508,290,10,3360
2024-06-05,百度信息流,百度信息流_成分党,3672.48,134113,2388,232,13,4368
2024-06-05,Bilibili,B站_美妆区_新品,4976.77,235644,4210,350,25,4200
2024-06-06,腾讯广告,test_删我,2222.84,54369,1190,109,1,168
2024-06-06,Bilibili,B站_美妆区_新品,4952.92,140962,1584,148,7,1176
2024-06-07,腾讯广告,LUMI精华液_新客_0501,5910.46,230413,3492,231,17,2856
2024-06-07,巨量引擎,lumi-jh-laxin-3,2091.35,57742,1173,132,7,2352
2024-06-08,Bilibili,B站_美妆区_新品,2604.96,89536,1233,89,5,1680
2024-06-08,腾讯广告,LUMI精华液_新客_0501,5221.00,131239,2103,150,15,5040
2024-06-09,腾讯广告,朋友圈_新品_首购,3165.41,94944,1656,123,10,3360
2024-06-09,Bilibili,B站_美妆区_新品,4131.70,100665,1176,54,7,1176
2024-06-10,百度信息流,LUMI 精华 拉新,5568.31,248993,6491,656,41,6888
2024-06-10,巨量引擎,LUMI_精华_拉新_v1,1979.28,108051,1917,163,11,5544
2024-06-11,小红书,小红书_种草_成分党,5744.05,230674,7386,482,26,4368
2024-06-11,百度信息流,LUMI_精华_拉新_v2,2913.97,82663,1841,183,11,5544
2024-06-12,腾讯广告,LUMI精华液_新客_0501,6391.80,241960,5774,547,27,13608
2024-06-12,百度信息流,test_删我,2457.18,73551,1781,,4,2016
2024-06-13,百度信息流,LUMI_精华_拉新_v2,2600.18,65364,1486,87,8,1344
2024-06-13,腾讯广告,LUMI精华液_新客_0501,5736.69,142256,2189,120,14,4704
2024-06-14,百度信息流,LUMI_精华_拉新_v2,5267.27,158834,3770,304,20,6720
2024-06-14,Bilibili,Bilibili_精华_测评,4193.59,211654,2349,195,12,2016
2024-06-15,小红书,RED_LUMI_note,3958.11,122724,4366,249,14,4704
2024-06-15,腾讯广告,LUMI精华液_新客_0501,4540.12,157813,3122,174,13,4368
2024-06-16,Bilibili,B站_美妆区_新品,5161.09,133845,2566,271,8,1344
2024-06-16,腾讯广告,LUMI精华液_新客_0501,2266.38,54804,758,50,4,672
2024-06-17,腾讯广告,朋友圈_新品_首购,2603.58,77183,1607,73,7,3528
2024-06-17,Bilibili,B站_美妆区_新品,2172.78,74735,1003,52,4,672
2024-06-18,Bilibili,B站_美妆区_新品,6009.67,166580,2425,266,15,5040
2024-06-18,小红书,LUMI 精华 拉新,3714.89,120525,4434,317,16,2688
2024-06-19,百度信息流,test_删我,1937.35,59228,1384,102,1,504
2024-06-19,巨量引擎,LUMI_精华_拉新_v1_复制,4282.29,142220,2395,203,12,2016
2024-06-20,百度信息流,LUMI_精华_拉新_v2,5494.36,137188,3402,168,19,3192
2024-06-20,腾讯广告,朋友圈_新品_首购,2609.42,116822,1688,111,10,1680
2024-06-21,Bilibili,Bilibili_精华_测评,3829.94,129698,1515,164,8,1344
2024-06-21,腾讯广告,LUMI精华液_新客_0501,2962.32,85955,1310,128,7,1176
2024-06-22,巨量引擎,lumi-jh-laxin-3,6530.54,260226,4698,#N/A,27,9072
2024-06-22,Bilibili,B站_美妆区_新品,4075.61,101348,1571,106,6,2016
2024-06-23,腾讯广告,LUMI精华液_新客_0501,3579.04,93858,1555,73,6,3024
2024-06-23,Bilibili,B站_美妆区_新品,6460.82,254342,4664,324,25,4200
2024-06-24,腾讯广告,朋友圈_新品_首购,3285.36,127754,1699,105,10,1680
2024-06-24,百度信息流,LUMI_精华_拉新_v2,3024.61,103364,2723,304,16,8064
2024-06-25,巨量引擎,LUMI_精华_拉新_v1,3194.12,165355,3506,367,21,7056
2024-06-25,Bilibili,test_删我,1433.24,37311,382,36,0,0
2024-06-26,小红书,RED_LUMI_note,3842.12,138206,4439,331,15,5040
2024-06-26,腾讯广告,朋友圈_新品_首购,5604.84,141634,2943,322,17,5712
2024-06-27,小红书,LUMI 精华 拉新,6754.65,344087,10422,,51,8568
2024-06-27,百度信息流,LUMI_精华_拉新_v2,3866.41,163661,3300,150,19,3192
2024-06-28,Bilibili,B站_美妆区_新品,1857.64,63022,871,56,3,1512
2024-06-28,巨量引擎,LUMI_精华_拉新_v1,5437.67,255906,6431,368,41,13776
2024-06-29,腾讯广告,LUMI精华液_新客_0501_复制,5602.93,142551,1977,208,10,1680
2024-06-29,Bilibili,B站_美妆区_新品,1910.52,65599,1266,137,4,672
